college,department,course_number,pk_x,pk_y,professor,grade
CAS,Economics,302,0x0502387aea2332bcaaa5b70d2b1645b1614f4b1a8c8ce0379ffc380ca2651357,0x0aab8dc2cb58463869ff2b70b37e6c882328217823a9d9d41de5e02d900c6bc6,Dr. Henry Moore,B+
CAS,English,302,0x0502387aea2332bcaaa5b70d2b1645b1614f4b1a8c8ce0379ffc380ca2651357,0x0aab8dc2cb58463869ff2b70b37e6c882328217823a9d9d41de5e02d900c6bc6,Dr. David Brown,B
CAS,Economics,101,0x0502387aea2332bcaaa5b70d2b1645b1614f4b1a8c8ce0379ffc380ca2651357,0x0aab8dc2cb58463869ff2b70b37e6c882328217823a9d9d41de5e02d900c6bc6,Dr. Emma Davis,B
CAS,English,202,0x0502387aea2332bcaaa5b70d2b1645b1614f4b1a8c8ce0379ffc380ca2651357,0x0aab8dc2cb58463869ff2b70b37e6c882328217823a9d9d41de5e02d900c6bc6,Dr. Henry Moore,A-
ENG,Electrical and Computer Engineering,202,0x0fe496abda03664ff1c542e9902b140ce835ebfbb18c95af7fad925d31f55d06,0x0353000fa08bfe6e038619f244693a84c0c161b01bc3f4875cb09009bed0dbfa,Dr. David Brown,B+
ENG,Biomedical Engineering,102,0x0fe496abda03664ff1c542e9902b140ce835ebfbb18c95af7fad925d31f55d06,0x0353000fa08bfe6e038619f244693a84c0c161b01bc3f4875cb09009bed0dbfa,Dr. Carol Williams,A-
CAS,Economics,302,0x0fe496abda03664ff1c542e9902b140ce835ebfbb18c95af7fad925d31f55d06,0x0353000fa08bfe6e038619f244693a84c0c161b01bc3f4875cb09009bed0dbfa,Dr. Henry Moore,C+
ENG,Mechanical Engineering,202,0x0fe496abda03664ff1c542e9902b140ce835ebfbb18c95af7fad925d31f55d06,0x0353000fa08bfe6e038619f244693a84c0c161b01bc3f4875cb09009bed0dbfa,Dr. Henry Moore,A
CAS,English,201,0x1b80e51af43074f64d91eaa47716be39dc88a35bc8416a705e554bdc41237e3e,0x06c709396bf8934cd12782ea54001291f43e4c6d756c15945a843c9e4f15f8e8,Dr. Grace Wilson,C
ENG,Systems Engineering,301,0x1b80e51af43074f64d91eaa47716be39dc88a35bc8416a705e554bdc41237e3e,0x06c709396bf8934cd12782ea54001291f43e4c6d756c15945a843c9e4f15f8e8,Dr. Henry Moore,C
CAS,Economics,102,0x1b80e51af43074f64d91eaa47716be39dc88a35bc8416a705e554bdc41237e3e,0x06c709396bf8934cd12782ea54001291f43e4c6d756c15945a843c9e4f15f8e8,Dr. Henry Moore,C-
ENG,Electrical and Computer Engineering,302,0x1b80e51af43074f64d91eaa47716be39dc88a35bc8416a705e554bdc41237e3e,0x06c709396bf8934cd12782ea54001291f43e4c6d756c15945a843c9e4f15f8e8,Dr. Grace Wilson,A
CAS,Mathematics,101,0x1b57505255fe90fd67b356b8da34503215fffd6e36a25f30b96fc4f6b62a9ae8,0x2eb20f63a21d498d3653a62d67c799de5d8ba953d507c1f1129220b054a7bab6,Dr. Carol Williams,A
CAS,Mathematics,102,0x1b57505255fe90fd67b356b8da34503215fffd6e36a25f30b96fc4f6b62a9ae8,0x2eb20f63a21d498d3653a62d67c799de5d8ba953d507c1f1129220b054a7bab6,Dr. Emma Davis,C+
ENG,Systems Engineering,202,0x1b57505255fe90fd67b356b8da34503215fffd6e36a25f30b96fc4f6b62a9ae8,0x2eb20f63a21d498d3653a62d67c799de5d8ba953d507c1f1129220b054a7bab6,Dr. Henry Moore,B+
ENG,Systems Engineering,201,0x1b57505255fe90fd67b356b8da34503215fffd6e36a25f30b96fc4f6b62a9ae8,0x2eb20f63a21d498d3653a62d67c799de5d8ba953d507c1f1129220b054a7bab6,Dr. Emma Davis,D
CAS,English,102,0x192a0a0bbdd127e0e7a1c11b2660f639c80988187365dedcdcb06843d2efbdad,0x23247411e0c029445eeefa28eedafeb5de4b75e79c13846f7543560ef9585438,Dr. Frank Miller,C+
ENG,Electrical and Computer Engineering,301,0x192a0a0bbdd127e0e7a1c11b2660f639c80988187365dedcdcb06843d2efbdad,0x23247411e0c029445eeefa28eedafeb5de4b75e79c13846f7543560ef9585438,Dr. Emma Davis,F
ENG,Mechanical Engineering,202,0x192a0a0bbdd127e0e7a1c11b2660f639c80988187365dedcdcb06843d2efbdad,0x23247411e0c029445eeefa28eedafeb5de4b75e79c13846f7543560ef9585438,Dr. Henry Moore,A
ENG,Systems Engineering,101,0x192a0a0bbdd127e0e7a1c11b2660f639c80988187365dedcdcb06843d2efbdad,0x23247411e0c029445eeefa28eedafeb5de4b75e79c13846f7543560ef9585438,Dr. Bob Johnson,C+
CAS,Economics,301,0x2ca8074472557c158474fca22a997a50934b5648768ab9daa5467701cae9c708,0x16a757d6bdd1837c9d719652c0b0e1cf6fca1aa896f80f4761a581d8baaaa481,Dr. Grace Wilson,B
CAS,Economics,201,0x2ca8074472557c158474fca22a997a50934b5648768ab9daa5467701cae9c708,0x16a757d6bdd1837c9d719652c0b0e1cf6fca1aa896f80f4761a581d8baaaa481,Dr. Henry Moore,C
CAS,English,102,0x2ca8074472557c158474fca22a997a50934b5648768ab9daa5467701cae9c708,0x16a757d6bdd1837c9d719652c0b0e1cf6fca1aa896f80f4761a581d8baaaa481,Dr. Frank Miller,C
CAS,Economics,101,0x2ca8074472557c158474fca22a997a50934b5648768ab9daa5467701cae9c708,0x16a757d6bdd1837c9d719652c0b0e1cf6fca1aa896f80f4761a581d8baaaa481,Dr. Emma Davis,F
ENG,Mechanical Engineering,302,0x06f2aa343940a7f2e2b74f08334057fcd4bd521a60c72d058e4e9d0fa864643e,0x11ab4b4eac3b9e501897634e688de3ba7cacb9471cb52a35d4ba027055bf079b,Dr. Frank Miller,D
CAS,Computer Science,102,0x06f2aa343940a7f2e2b74f08334057fcd4bd521a60c72d058e4e9d0fa864643e,0x11ab4b4eac3b9e501897634e688de3ba7cacb9471cb52a35d4ba027055bf079b,Dr. Frank Miller,C-
CAS,Computer Science,595,0x06f2aa343940a7f2e2b74f08334057fcd4bd521a60c72d058e4e9d0fa864643e,0x11ab4b4eac3b9e501897634e688de3ba7cacb9471cb52a35d4ba027055bf079b,Dr. Emma Davis,C
ENG,Systems Engineering,302,0x06f2aa343940a7f2e2b74f08334057fcd4bd521a60c72d058e4e9d0fa864643e,0x11ab4b4eac3b9e501897634e688de3ba7cacb9471cb52a35d4ba027055bf079b,Dr. Grace Wilson,C+
ENG,Systems Engineering,201,0x036abadda12218cb626a99fa277846356d1b96ad05ea329554b6144531a66743,0x1ff469beed2d6f25237d1cdc700502f0ef4a50ae65bc5834aad532643da2d68e,Dr. Emma Davis,C-
CAS,Economics,201,0x036abadda12218cb626a99fa277846356d1b96ad05ea329554b6144531a66743,0x1ff469beed2d6f25237d1cdc700502f0ef4a50ae65bc5834aad532643da2d68e,Dr. Emma Davis,C
CAS,Computer Science,202,0x036abadda12218cb626a99fa277846356d1b96ad05ea329554b6144531a66743,0x1ff469beed2d6f25237d1cdc700502f0ef4a50ae65bc5834aad532643da2d68e,Dr. Bob Johnson,A
CAS,Computer Science,595,0x036abadda12218cb626a99fa277846356d1b96ad05ea329554b6144531a66743,0x1ff469beed2d6f25237d1cdc700502f0ef4a50ae65bc5834aad532643da2d68e,Dr. Emma Davis,F
ENG,Biomedical Engineering,301,0x03a27396cda41798aa771a3a9cccf161ed6a096a94d3d38ae385d17c2c5d2fe8,0x0416c1c15ba2896a9c3ec8c1f94ff026a2fc6726047c5168747d0a2f491d7b0d,Dr. Henry Moore,D
CAS,Economics,102,0x03a27396cda41798aa771a3a9cccf161ed6a096a94d3d38ae385d17c2c5d2fe8,0x0416c1c15ba2896a9c3ec8c1f94ff026a2fc6726047c5168747d0a2f491d7b0d,Dr. Henry Moore,D
CAS,Economics,301,0x03a27396cda41798aa771a3a9cccf161ed6a096a94d3d38ae385d17c2c5d2fe8,0x0416c1c15ba2896a9c3ec8c1f94ff026a2fc6726047c5168747d0a2f491d7b0d,Dr. Grace Wilson,B-
ENG,Systems Engineering,302,0x03a27396cda41798aa771a3a9cccf161ed6a096a94d3d38ae385d17c2c5d2fe8,0x0416c1c15ba2896a9c3ec8c1f94ff026a2fc6726047c5168747d0a2f491d7b0d,Dr. Grace Wilson,A-
ENG,Electrical and Computer Engineering,101,0x23351599115b56f1b45588f459f31f66a8878df08e6a40f7cdec8edd0822fbcd,0x050e2dc548b358c78b972f03aec1f5434d7b06cac50fcdb12df89d5080f0d14e,Dr. Carol Williams,D
ENG,Systems Engineering,301,0x23351599115b56f1b45588f459f31f66a8878df08e6a40f7cdec8edd0822fbcd,0x050e2dc548b358c78b972f03aec1f5434d7b06cac50fcdb12df89d5080f0d14e,Dr. Henry Moore,F
ENG,Electrical and Computer Engineering,302,0x23351599115b56f1b45588f459f31f66a8878df08e6a40f7cdec8edd0822fbcd,0x050e2dc548b358c78b972f03aec1f5434d7b06cac50fcdb12df89d5080f0d14e,Dr. Grace Wilson,B
CAS,Mathematics,202,0x23351599115b56f1b45588f459f31f66a8878df08e6a40f7cdec8edd0822fbcd,0x050e2dc548b358c78b972f03aec1f5434d7b06cac50fcdb12df89d5080f0d14e,Dr. Henry Moore,A
ENG,Biomedical Engineering,301,0x233fd01f7d8bd944fe9b4ac081739e31a433caa3b935f52ece372686bb4ccd4a,0x1f813c9413265e08965da3dd54290d7149ce362b7d94ff0412e2b98dde9c5792,Dr. Emma Davis,C-
ENG,Mechanical Engineering,202,0x233fd01f7d8bd944fe9b4ac081739e31a433caa3b935f52ece372686bb4ccd4a,0x1f813c9413265e08965da3dd54290d7149ce362b7d94ff0412e2b98dde9c5792,Dr. Henry Moore,A
CAS,English,101,0x233fd01f7d8bd944fe9b4ac081739e31a433caa3b935f52ece372686bb4ccd4a,0x1f813c9413265e08965da3dd54290d7149ce362b7d94ff0412e2b98dde9c5792,Dr. Henry Moore,A
CAS,English,302,0x233fd01f7d8bd944fe9b4ac081739e31a433caa3b935f52ece372686bb4ccd4a,0x1f813c9413265e08965da3dd54290d7149ce362b7d94ff0412e2b98dde9c5792,Dr. David Brown,A-
CAS,English,302,0x026649c5a4b6c3e5572ecd9b3abd37f9e0f31b877dc5beb72000d0ea4246e0c6,0x09e16cbe3e49e673215c45a65f4e55b666544c2adf94f84a436031bc5c80f832,Dr. Henry Moore,B-
CAS,Economics,302,0x026649c5a4b6c3e5572ecd9b3abd37f9e0f31b877dc5beb72000d0ea4246e0c6,0x09e16cbe3e49e673215c45a65f4e55b666544c2adf94f84a436031bc5c80f832,Dr. Henry Moore,C
ENG,Systems Engineering,201,0x026649c5a4b6c3e5572ecd9b3abd37f9e0f31b877dc5beb72000d0ea4246e0c6,0x09e16cbe3e49e673215c45a65f4e55b666544c2adf94f84a436031bc5c80f832,Dr. Emma Davis,C-
CAS,English,101,0x026649c5a4b6c3e5572ecd9b3abd37f9e0f31b877dc5beb72000d0ea4246e0c6,0x09e16cbe3e49e673215c45a65f4e55b666544c2adf94f84a436031bc5c80f832,Dr. Bob Johnson,C+
CAS,English,202,0x11ab2559c34322b16f3536b25f4f743947ad513845b3f8950e1fa4a79e7c20eb,0x21d5829445158591d35807081a05860e82a254a7faef7532c0a39c2806748547,Dr. Henry Moore,F
ENG,Electrical and Computer Engineering,201,0x11ab2559c34322b16f3536b25f4f743947ad513845b3f8950e1fa4a79e7c20eb,0x21d5829445158591d35807081a05860e82a254a7faef7532c0a39c2806748547,Dr. Grace Wilson,B+
CAS,Economics,102,0x11ab2559c34322b16f3536b25f4f743947ad513845b3f8950e1fa4a79e7c20eb,0x21d5829445158591d35807081a05860e82a254a7faef7532c0a39c2806748547,Dr. Henry Moore,A
CAS,Economics,301,0x11ab2559c34322b16f3536b25f4f743947ad513845b3f8950e1fa4a79e7c20eb,0x21d5829445158591d35807081a05860e82a254a7faef7532c0a39c2806748547,Dr. Grace Wilson,F
CAS,English,102,0x261755e41d775fc89b31f2fe23bf73832da57b9baf100904e9f9e7865e693901,0x23a4426dc10ac1a0c9b755f8193f2be9e087de6758a84296f73276a4ea5251f0,Dr. Emma Davis,A
ENG,Electrical and Computer Engineering,201,0x261755e41d775fc89b31f2fe23bf73832da57b9baf100904e9f9e7865e693901,0x23a4426dc10ac1a0c9b755f8193f2be9e087de6758a84296f73276a4ea5251f0,Dr. Grace Wilson,B-
ENG,Systems Engineering,302,0x261755e41d775fc89b31f2fe23bf73832da57b9baf100904e9f9e7865e693901,0x23a4426dc10ac1a0c9b755f8193f2be9e087de6758a84296f73276a4ea5251f0,Dr. Alice Smith,B-
CAS,English,202,0x261755e41d775fc89b31f2fe23bf73832da57b9baf100904e9f9e7865e693901,0x23a4426dc10ac1a0c9b755f8193f2be9e087de6758a84296f73276a4ea5251f0,Dr. Henry Moore,B+
CAS,Computer Science,201,0x0fc99d3b377d48248db66c80a41e8d1b5a282a81e2bda17f6f90a90b5ffd3d92,0x18f384bfb141f14dbe50aadd9b7a4c1d35079a5ec7924b664719e668ed8e41e9,Dr. Grace Wilson,C-
CAS,English,201,0x0fc99d3b377d48248db66c80a41e8d1b5a282a81e2bda17f6f90a90b5ffd3d92,0x18f384bfb141f14dbe50aadd9b7a4c1d35079a5ec7924b664719e668ed8e41e9,Dr. Grace Wilson,C
ENG,Systems Engineering,102,0x0fc99d3b377d48248db66c80a41e8d1b5a282a81e2bda17f6f90a90b5ffd3d92,0x18f384bfb141f14dbe50aadd9b7a4c1d35079a5ec7924b664719e668ed8e41e9,Dr. Bob Johnson,A
CAS,Computer Science,101,0x0fc99d3b377d48248db66c80a41e8d1b5a282a81e2bda17f6f90a90b5ffd3d92,0x18f384bfb141f14dbe50aadd9b7a4c1d35079a5ec7924b664719e668ed8e41e9,Dr. Grace Wilson,D
ENG,Mechanical Engineering,102,0x16009d3a683523b8f23fc7459d72870de7907b8a5f23148fd69933d75df83fc6,0x0cf2064857f17b68aca559306aeab850429f932c75072d4f4eab9d7f6189868b,Dr. Grace Wilson,B-
ENG,Systems Engineering,102,0x16009d3a683523b8f23fc7459d72870de7907b8a5f23148fd69933d75df83fc6,0x0cf2064857f17b68aca559306aeab850429f932c75072d4f4eab9d7f6189868b,Dr. Bob Johnson,C+
ENG,Systems Engineering,302,0x16009d3a683523b8f23fc7459d72870de7907b8a5f23148fd69933d75df83fc6,0x0cf2064857f17b68aca559306aeab850429f932c75072d4f4eab9d7f6189868b,Dr. Alice Smith,A
CAS,Computer Science,301,0x16009d3a683523b8f23fc7459d72870de7907b8a5f23148fd69933d75df83fc6,0x0cf2064857f17b68aca559306aeab850429f932c75072d4f4eab9d7f6189868b,Dr. Carol Williams,C
CAS,English,302,0x1f6b77739fa0137631155fc3c460d935cfb5ddfb611b96833ca119a19c93feaa,0x13decfc1a993ede964cff462e0cfee7fb2e310f7533cd4dd615be34bea581c14,Dr. David Brown,C-
ENG,Electrical and Computer Engineering,202,0x1f6b77739fa0137631155fc3c460d935cfb5ddfb611b96833ca119a19c93feaa,0x13decfc1a993ede964cff462e0cfee7fb2e310f7533cd4dd615be34bea581c14,Dr. Frank Miller,F
CAS,Economics,202,0x1f6b77739fa0137631155fc3c460d935cfb5ddfb611b96833ca119a19c93feaa,0x13decfc1a993ede964cff462e0cfee7fb2e310f7533cd4dd615be34bea581c14,Dr. Emma Davis,B+
CAS,Computer Science,202,0x1f6b77739fa0137631155fc3c460d935cfb5ddfb611b96833ca119a19c93feaa,0x13decfc1a993ede964cff462e0cfee7fb2e310f7533cd4dd615be34bea581c14,Dr. Bob Johnson,B+
ENG,Electrical and Computer Engineering,101,0x0002128e6ab3c60a35892c1ed9c2741e5973d30628a500ff89bd14d3fd45b325,0x2ce5d81e4557acd2d99c5eab4427dd388fd9abccc6f1343dfe514c6911598c57,Dr. Carol Williams,F
ENG,Systems Engineering,201,0x0002128e6ab3c60a35892c1ed9c2741e5973d30628a500ff89bd14d3fd45b325,0x2ce5d81e4557acd2d99c5eab4427dd388fd9abccc6f1343dfe514c6911598c57,Dr. Emma Davis,A-
ENG,Mechanical Engineering,101,0x0002128e6ab3c60a35892c1ed9c2741e5973d30628a500ff89bd14d3fd45b325,0x2ce5d81e4557acd2d99c5eab4427dd388fd9abccc6f1343dfe514c6911598c57,Dr. David Brown,F
ENG,Biomedical Engineering,301,0x0002128e6ab3c60a35892c1ed9c2741e5973d30628a500ff89bd14d3fd45b325,0x2ce5d81e4557acd2d99c5eab4427dd388fd9abccc6f1343dfe514c6911598c57,Dr. Emma Davis,D
CAS,Mathematics,101,0x2d2dee9cfa7dc82e7f301e3971b1ef3e7667e8224b208915c44268369d9d191b,0x2c8d8dab1850ee8fffb5a5ee108f8d11b4288d6d4f71bb704edebb03a260f7c6,Dr. Carol Williams,B
ENG,Electrical and Computer Engineering,302,0x2d2dee9cfa7dc82e7f301e3971b1ef3e7667e8224b208915c44268369d9d191b,0x2c8d8dab1850ee8fffb5a5ee108f8d11b4288d6d4f71bb704edebb03a260f7c6,Dr. Grace Wilson,B+
CAS,Computer Science,301,0x2d2dee9cfa7dc82e7f301e3971b1ef3e7667e8224b208915c44268369d9d191b,0x2c8d8dab1850ee8fffb5a5ee108f8d11b4288d6d4f71bb704edebb03a260f7c6,Dr. Alice Smith,A-
ENG,Systems Engineering,202,0x2d2dee9cfa7dc82e7f301e3971b1ef3e7667e8224b208915c44268369d9d191b,0x2c8d8dab1850ee8fffb5a5ee108f8d11b4288d6d4f71bb704edebb03a260f7c6,Dr. Henry Moore,C
ENG,Biomedical Engineering,102,0x09351ed4437f6b9367838a8e5dd9c0599ef73028808fae8aace199d73b016af5,0x19ef0a645650ad26f835cd5321d7093208c7f4bf7140ab65fdff64f17ade7ea7,Dr. Carol Williams,B+
ENG,Biomedical Engineering,201,0x09351ed4437f6b9367838a8e5dd9c0599ef73028808fae8aace199d73b016af5,0x19ef0a645650ad26f835cd5321d7093208c7f4bf7140ab65fdff64f17ade7ea7,Dr. Alice Smith,B-
ENG,Systems Engineering,202,0x09351ed4437f6b9367838a8e5dd9c0599ef73028808fae8aace199d73b016af5,0x19ef0a645650ad26f835cd5321d7093208c7f4bf7140ab65fdff64f17ade7ea7,Dr. Henry Moore,B-
CAS,English,201,0x09351ed4437f6b9367838a8e5dd9c0599ef73028808fae8aace199d73b016af5,0x19ef0a645650ad26f835cd5321d7093208c7f4bf7140ab65fdff64f17ade7ea7,Dr. Grace Wilson,D
CAS,Computer Science,202,0x14883d9ee56ea1928a847b31b73405d8bfeae02c8c377851e4f7620d9ddf5259,0x1613025b40b6d82fd813cc414ff01a4e6eb1a2cb18fa4726564fe698296c290e,Dr. Bob Johnson,C-
CAS,Economics,302,0x14883d9ee56ea1928a847b31b73405d8bfeae02c8c377851e4f7620d9ddf5259,0x1613025b40b6d82fd813cc414ff01a4e6eb1a2cb18fa4726564fe698296c290e,Dr. Henry Moore,C-
ENG,Electrical and Computer Engineering,201,0x14883d9ee56ea1928a847b31b73405d8bfeae02c8c377851e4f7620d9ddf5259,0x1613025b40b6d82fd813cc414ff01a4e6eb1a2cb18fa4726564fe698296c290e,Dr. Grace Wilson,A-
CAS,Economics,301,0x14883d9ee56ea1928a847b31b73405d8bfeae02c8c377851e4f7620d9ddf5259,0x1613025b40b6d82fd813cc414ff01a4e6eb1a2cb18fa4726564fe698296c290e,Dr. Grace Wilson,C+
ENG,Systems Engineering,201,0x2805bec1fcfa422117016db1d7000c4e3536e8cba7f6257d59acfde3d098ba80,0x13af530d868264bb391f683a1d7bef46760035894ae66e3fb0d98cecf740418b,Dr. Emma Davis,B
CAS,Mathematics,102,0x2805bec1fcfa422117016db1d7000c4e3536e8cba7f6257d59acfde3d098ba80,0x13af530d868264bb391f683a1d7bef46760035894ae66e3fb0d98cecf740418b,Dr. Emma Davis,B-
CAS,Computer Science,301,0x2805bec1fcfa422117016db1d7000c4e3536e8cba7f6257d59acfde3d098ba80,0x13af530d868264bb391f683a1d7bef46760035894ae66e3fb0d98cecf740418b,Dr. Alice Smith,B
CAS,Mathematics,301,0x2805bec1fcfa422117016db1d7000c4e3536e8cba7f6257d59acfde3d098ba80,0x13af530d868264bb391f683a1d7bef46760035894ae66e3fb0d98cecf740418b,Dr. David Brown,C-
CAS,Mathematics,101,0x12a8b050a6751bf47840532fbc2ece0e17020bb442ebc392a607d918439a2734,0x18bc51b70efb300c29d0664b5094d27924c14479575effe14e1724666471f168,Dr. Carol Williams,A
ENG,Electrical and Computer Engineering,302,0x12a8b050a6751bf47840532fbc2ece0e17020bb442ebc392a607d918439a2734,0x18bc51b70efb300c29d0664b5094d27924c14479575effe14e1724666471f168,Dr. Grace Wilson,C
CAS,English,302,0x12a8b050a6751bf47840532fbc2ece0e17020bb442ebc392a607d918439a2734,0x18bc51b70efb300c29d0664b5094d27924c14479575effe14e1724666471f168,Dr. Henry Moore,C+
CAS,Computer Science,595,0x12a8b050a6751bf47840532fbc2ece0e17020bb442ebc392a607d918439a2734,0x18bc51b70efb300c29d0664b5094d27924c14479575effe14e1724666471f168,Dr. Alice Smith,D
CAS,Mathematics,101,0x2f3f74413dbd6934098a9f1cfb674d4d6161de4892cd96295393a1c5c3a1a166,0x174c754fcc582beb50bc32dd4cd069bd54f114b4fa27dcd19df5b82be5f88218,Dr. Carol Williams,B-
CAS,Economics,201,0x2f3f74413dbd6934098a9f1cfb674d4d6161de4892cd96295393a1c5c3a1a166,0x174c754fcc582beb50bc32dd4cd069bd54f114b4fa27dcd19df5b82be5f88218,Dr. Henry Moore,D
CAS,Computer Science,202,0x2f3f74413dbd6934098a9f1cfb674d4d6161de4892cd96295393a1c5c3a1a166,0x174c754fcc582beb50bc32dd4cd069bd54f114b4fa27dcd19df5b82be5f88218,Dr. Bob Johnson,B+
ENG,Electrical and Computer Engineering,201,0x2f3f74413dbd6934098a9f1cfb674d4d6161de4892cd96295393a1c5c3a1a166,0x174c754fcc582beb50bc32dd4cd069bd54f114b4fa27dcd19df5b82be5f88218,Dr. Grace Wilson,C
CAS,Economics,201,0x2a925ad927e577eb9b7753102d5479c2a64ce941a1dd053e7cf3ec7854d8c2bf,0x22460798eb94264505aa82f170c7768e4334ed8f76627886330d1994811a8646,Dr. Emma Davis,F
ENG,Mechanical Engineering,201,0x2a925ad927e577eb9b7753102d5479c2a64ce941a1dd053e7cf3ec7854d8c2bf,0x22460798eb94264505aa82f170c7768e4334ed8f76627886330d1994811a8646,Dr. David Brown,C-
CAS,Mathematics,102,0x2a925ad927e577eb9b7753102d5479c2a64ce941a1dd053e7cf3ec7854d8c2bf,0x22460798eb94264505aa82f170c7768e4334ed8f76627886330d1994811a8646,Dr. Emma Davis,B
ENG,Electrical and Computer Engineering,302,0x2a925ad927e577eb9b7753102d5479c2a64ce941a1dd053e7cf3ec7854d8c2bf,0x22460798eb94264505aa82f170c7768e4334ed8f76627886330d1994811a8646,Dr. Carol Williams,D
CAS,Computer Science,101,0x2f6ca5795931740c2d80c4c169c5b673f289eb0aed9975156a571afdedb08249,0x12c39d45a7c8b7416bcdadcd3e670d3b65942027af8d4b8bd6e1a924e36c9877,Dr. Emma Davis,B+
CAS,English,202,0x2f6ca5795931740c2d80c4c169c5b673f289eb0aed9975156a571afdedb08249,0x12c39d45a7c8b7416bcdadcd3e670d3b65942027af8d4b8bd6e1a924e36c9877,Dr. Henry Moore,A-
ENG,Electrical and Computer Engineering,102,0x2f6ca5795931740c2d80c4c169c5b673f289eb0aed9975156a571afdedb08249,0x12c39d45a7c8b7416bcdadcd3e670d3b65942027af8d4b8bd6e1a924e36c9877,Dr. Frank Miller,A
CAS,Computer Science,595,0x2f6ca5795931740c2d80c4c169c5b673f289eb0aed9975156a571afdedb08249,0x12c39d45a7c8b7416bcdadcd3e670d3b65942027af8d4b8bd6e1a924e36c9877,Dr. Alice Smith,A
ENG,Biomedical Engineering,201,0x15001e68aee343968e0ecc221bf264616525aa310cd0ab30ab50401bc8ec0fb3,0x27a2cce93f19c4c2e8336d1d0f936c12f252bab84651686c93b565e496c36e73,Dr. Grace Wilson,D
CAS,Mathematics,302,0x15001e68aee343968e0ecc221bf264616525aa310cd0ab30ab50401bc8ec0fb3,0x27a2cce93f19c4c2e8336d1d0f936c12f252bab84651686c93b565e496c36e73,Dr. Frank Miller,A-
CAS,Mathematics,201,0x15001e68aee343968e0ecc221bf264616525aa310cd0ab30ab50401bc8ec0fb3,0x27a2cce93f19c4c2e8336d1d0f936c12f252bab84651686c93b565e496c36e73,Dr. Frank Miller,B+
ENG,Systems Engineering,301,0x15001e68aee343968e0ecc221bf264616525aa310cd0ab30ab50401bc8ec0fb3,0x27a2cce93f19c4c2e8336d1d0f936c12f252bab84651686c93b565e496c36e73,Dr. Henry Moore,A-
ENG,Biomedical Engineering,201,0x01918eecdcaed527bb45708397c0e109e2c9e4cd258057f6712be08af70e9579,0x2f2c9cf2a58b6826b2806d9cdc2d0a3d3bb422d4b967496580ddc723b2b350ae,Dr. Alice Smith,B-
CAS,Economics,101,0x01918eecdcaed527bb45708397c0e109e2c9e4cd258057f6712be08af70e9579,0x2f2c9cf2a58b6826b2806d9cdc2d0a3d3bb422d4b967496580ddc723b2b350ae,Dr. Emma Davis,A-
CAS,English,101,0x01918eecdcaed527bb45708397c0e109e2c9e4cd258057f6712be08af70e9579,0x2f2c9cf2a58b6826b2806d9cdc2d0a3d3bb422d4b967496580ddc723b2b350ae,Dr. Bob Johnson,B
ENG,Systems Engineering,201,0x01918eecdcaed527bb45708397c0e109e2c9e4cd258057f6712be08af70e9579,0x2f2c9cf2a58b6826b2806d9cdc2d0a3d3bb422d4b967496580ddc723b2b350ae,Dr. Emma Davis,B
ENG,Electrical and Computer Engineering,102,0x265359e7c8339bc533ccf3286d00934e1b96dae2d10fdbe2a87805d1ec591ffd,0x0bcdb024d9a12ccf835c65d14beb1a0d24b13f35490f2652d21723a2e729fc34,Dr. Frank Miller,B-
ENG,Systems Engineering,301,0x265359e7c8339bc533ccf3286d00934e1b96dae2d10fdbe2a87805d1ec591ffd,0x0bcdb024d9a12ccf835c65d14beb1a0d24b13f35490f2652d21723a2e729fc34,Dr. Henry Moore,C
CAS,Mathematics,201,0x265359e7c8339bc533ccf3286d00934e1b96dae2d10fdbe2a87805d1ec591ffd,0x0bcdb024d9a12ccf835c65d14beb1a0d24b13f35490f2652d21723a2e729fc34,Dr. Bob Johnson,A
ENG,Biomedical Engineering,201,0x265359e7c8339bc533ccf3286d00934e1b96dae2d10fdbe2a87805d1ec591ffd,0x0bcdb024d9a12ccf835c65d14beb1a0d24b13f35490f2652d21723a2e729fc34,Dr. Alice Smith,C-
ENG,Electrical and Computer Engineering,201,0x22b36508464c513d77bc1a02fdb5c489c10ecbcd24517c65269ee081f3e9ee78,0x28563e10e3555bac3f81a270c9dab5580b841c6655d633e1163f95a3c6525e06,Dr. Frank Miller,C+
ENG,Biomedical Engineering,301,0x22b36508464c513d77bc1a02fdb5c489c10ecbcd24517c65269ee081f3e9ee78,0x28563e10e3555bac3f81a270c9dab5580b841c6655d633e1163f95a3c6525e06,Dr. Emma Davis,A-
ENG,Electrical and Computer Engineering,102,0x22b36508464c513d77bc1a02fdb5c489c10ecbcd24517c65269ee081f3e9ee78,0x28563e10e3555bac3f81a270c9dab5580b841c6655d633e1163f95a3c6525e06,Dr. Frank Miller,B+
ENG,Biomedical Engineering,202,0x22b36508464c513d77bc1a02fdb5c489c10ecbcd24517c65269ee081f3e9ee78,0x28563e10e3555bac3f81a270c9dab5580b841c6655d633e1163f95a3c6525e06,Dr. Grace Wilson,D
ENG,Systems Engineering,202,0x1c2c41222b6541fe83bb4b71980c3b96444b280e4be7863f70a665ce3f457076,0x01317b3cb12d9e1c88a74fcfe8ce29b2edef467bd96311dbefe0f64bdd68c399,Dr. Henry Moore,C
